	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
0	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
1	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
2	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
3	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
4	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
5	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6	FAMU	COPPS	$16,183		2018-2019		
7	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
8	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
9	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
10	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
11	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
12	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
13	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
14	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
15	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
16	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
17	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
18	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
19	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
20	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
21	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
22	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
23	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
24	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
25	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
26	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
27	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
28	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
29	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
30	University of Reims	Computer Science	$1,400		2018-2019	3rd	
31	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
32	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
33	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
34	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
35	Baylor University (BU)	History	$17,500	0.88	2018-2019		
36	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
37	University of Arizona (U of A)		$20,150	0.97	2019-2020		
38	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
39	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
40	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
41	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
42	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
43	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
44	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
45			$39,000		2018-2019	4th	
46			$39,000		2018-2019	4th	
47	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
48	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
49	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
50	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
51	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
52	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
53	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
54	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
55	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
56	FAMU	COPPS	$16,183		2018-2019		
57	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
58	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
59	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
60	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
61	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
62	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
63	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
64	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
65	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
66	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
67	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
68	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
69	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
70	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
71	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
72	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
73	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
74	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
75	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
76	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
77	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
78	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
79	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
80	University of Reims	Computer Science	$1,400		2018-2019	3rd	
81	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
82	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
83	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
84	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
85	Baylor University (BU)	History	$17,500	0.88	2018-2019		
86	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
87	University of Arizona (U of A)		$20,150	0.97	2019-2020		
88	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
89	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
90	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
91	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
92	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
93	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
94	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
95			$39,000		2018-2019	4th	
96			$39,000		2018-2019	4th	
97	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
98	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
99	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
100	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
101	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
102	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
103	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
104	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
105	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
106	FAMU	COPPS	$16,183		2018-2019		
107	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
108	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
109	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
110	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
111	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
112	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
113	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
114	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
115	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
116	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
117	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
118	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
119	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
120	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
121	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
122	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
123	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
124	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
125	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
126	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
127	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
128	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
129	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
130	University of Reims	Computer Science	$1,400		2018-2019	3rd	
131	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
132	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
133	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
134	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
135	Baylor University (BU)	History	$17,500	0.88	2018-2019		
136	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
137	University of Arizona (U of A)		$20,150	0.97	2019-2020		
138	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
139	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
140	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
141	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
142	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
143	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
144	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
145			$39,000		2018-2019	4th	
146			$39,000		2018-2019	4th	
147	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
148	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
149	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
150	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
151	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
152	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
153	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
154	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
155	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
156	FAMU	COPPS	$16,183		2018-2019		
157	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
158	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
159	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
160	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
161	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
162	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
163	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
164	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
165	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
166	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
167	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
168	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
169	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
170	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
171	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
172	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
173	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
174	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
175	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
176	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
177	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
178	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
179	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
180	University of Reims	Computer Science	$1,400		2018-2019	3rd	
181	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
182	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
183	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
184	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
185	Baylor University (BU)	History	$17,500	0.88	2018-2019		
186	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
187	University of Arizona (U of A)		$20,150	0.97	2019-2020		
188	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
189	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
190	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
191	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
192	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
193	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
194	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
195			$39,000		2018-2019	4th	
196			$39,000		2018-2019	4th	
197	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
198	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
199	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
200	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
201	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
202	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
203	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
204	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
205	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
206	FAMU	COPPS	$16,183		2018-2019		
207	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
208	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
209	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
210	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
211	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
212	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
213	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
214	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
215	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
216	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
217	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
218	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
219	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
220	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
221	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
222	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
223	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
224	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
225	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
226	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
227	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
228	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
229	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
230	University of Reims	Computer Science	$1,400		2018-2019	3rd	
231	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
232	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
233	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
234	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
235	Baylor University (BU)	History	$17,500	0.88	2018-2019		
236	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
237	University of Arizona (U of A)		$20,150	0.97	2019-2020		
238	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
239	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
240	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
241	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
242	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
243	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
244	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
245			$39,000		2018-2019	4th	
246			$39,000		2018-2019	4th	
247	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
248	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
249	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
250	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
251	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
252	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
253	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
254	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
255	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
256	FAMU	COPPS	$16,183		2018-2019		
257	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
258	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
259	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
260	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
261	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
262	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
263	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
264	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
265	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
266	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
267	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
268	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
269	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
270	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
271	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
272	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
273	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
