	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
3726	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
3727	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
3728	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
3729	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
3730	University of Reims	Computer Science	$1,400		2018-2019	3rd	
3731	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
3732	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
3733	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3734	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
3735	Baylor University (BU)	History	$17,500	0.88	2018-2019		
3736	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
3737	University of Arizona (U of A)		$20,150	0.97	2019-2020		
3738	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
3739	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
3740	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3741	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
3742	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
3743	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
3744	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
3745			$39,000		2018-2019	4th	
3746			$39,000		2018-2019	4th	
3747	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
3748	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
3749	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
3750	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
3751	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
